date,time,ID,trial,timepoint,bin,tank,treatment,diameter,consumed,pycno,notes,bucket
2020-09-17,19:55:00,2_12,2,2,12,D,pycno,71,0,yes,NA,pycno
2020-09-18,07:45:00,2_7,2,3,7,E,empty,68,0,no,NA,empty
2020-09-18,07:45:00,2_5,2,3,5,E,empty,63,0.4,no,urchin had escaped,empty
2020-09-18,07:45:00,2_13,2,3,13,E,empty,72,0,no,NA,empty
2020-09-18,07:45:00,2_2,2,3,2,E,empty,79,10,no,NA,empty
2020-09-18,07:45:00,2_1,2,3,1,E,empty,67,0.9,no,NA,empty
2020-09-18,07:45:00,2_15,2,3,15,E,empty,72,2.3,no,NA,empty
2020-09-18,07:45:00,2_3,2,3,3,E,empty,77,5,no,"now bucket 6, kept as 3 in bin column for analysis",empty
2020-09-18,07:45:00,2_14,2,3,14,D,pycno,76,1.8,yes,NA,pycno
2020-09-18,07:45:00,2_16,2,3,16,D,pycno,69,0,yes,NA,pycno
2020-09-18,07:45:00,2_10,2,3,10,D,pycno,62,0.2,yes,NA,pycno
2020-09-18,07:45:00,2_9,2,3,9,D,pycno,72,0,yes,NA,pycno
2020-09-18,07:45:00,2_11,2,3,11,D,pycno,63,7.3,yes,NA,pycno
2020-09-18,07:45:00,2_17,2,3,17,D,pycno,71,1,yes,NA,pycno
2020-09-18,07:45:00,2_12,2,3,12,D,pycno,71,0,yes,NA,pycno
2020-09-18,13:55:00,2_7,2,4,7,E,empty,68,2,no,NA,empty
2020-09-18,13:55:00,2_5,2,4,5,E,empty,63,2,no,NA,empty
2020-09-18,13:55:00,2_13,2,4,13,E,empty,72,0,no,urchin had escaped,empty
2020-09-18,13:55:00,2_2,2,4,2,E,empty,79,5.2,no,NA,empty
2020-09-18,13:55:00,2_1,2,4,1,E,empty,67,3.1,no,NA,empty
2020-09-18,13:55:00,2_15,2,4,15,E,empty,72,0.9,no,NA,empty
2020-09-18,13:55:00,2_3,2,4,3,E,empty,77,4.9,no,NA,empty
2020-09-18,13:55:00,2_14,2,4,14,D,pycno,76,3.1,yes,NA,pycno
2020-09-18,13:55:00,2_16,2,4,16,D,pycno,69,0,yes,NA,pycno
2020-09-18,13:55:00,2_10,2,4,10,D,pycno,62,0.1,yes,NA,pycno
2020-09-18,13:55:00,2_9,2,4,9,D,pycno,72,1.3,yes,NA,pycno
2020-09-18,13:55:00,2_11,2,4,11,D,pycno,63,5.9,yes,NA,pycno
2020-09-18,13:55:00,2_17,2,4,17,D,pycno,71,1.3,yes,NA,pycno
2020-09-18,13:55:00,2_12,2,4,12,D,pycno,71,0,yes,NA,pycno
2020-09-18,19:55:00,2_7,2,5,7,E,empty,68,0.3,no,NA,empty
2020-09-18,19:55:00,2_5,2,5,5,E,empty,63,2.3,no,NA,empty
2020-09-18,19:55:00,2_13,2,5,13,E,empty,72,0,no,NA,empty
2020-09-18,19:55:00,2_2,2,5,2,E,empty,79,7.6,no,NA,empty
2020-09-18,19:55:00,2_1,2,5,1,E,empty,67,3.3,no,NA,empty
2020-09-18,19:55:00,2_15,2,5,15,E,empty,72,0.6,no,NA,empty
2020-09-18,19:55:00,2_3,2,5,3,E,empty,77,4.9,no,NA,empty
2020-09-18,19:55:00,2_14,2,5,14,D,pycno,76,4.7,yes,NA,pycno
2020-09-18,19:55:00,2_16,2,5,16,D,pycno,69,0,yes,NA,pycno
2020-09-18,19:55:00,2_10,2,5,10,D,pycno,62,1.9,yes,NA,pycno
2020-09-18,19:55:00,2_9,2,5,9,D,pycno,72,1.2,yes,NA,pycno
2020-09-18,19:55:00,2_11,2,5,11,D,pycno,63,0.7,yes,NA,pycno
2020-09-18,19:55:00,2_17,2,5,17,D,pycno,71,5.1,yes,NA,pycno
2020-09-18,19:55:00,2_12,2,5,12,D,pycno,71,3.2,yes,NA,pycno
2020-09-19,07:45:00,2_7,2,6,7,E,empty,68,1.8,no,NA,empty
2020-09-19,07:45:00,2_5,2,6,5,E,empty,63,0,no,NA,empty
2020-09-19,07:45:00,2_13,2,6,13,E,empty,72,0.4,no,NA,empty
2020-09-19,07:45:00,2_2,2,6,2,E,empty,79,8.5,no,NA,empty
2020-09-19,07:45:00,2_1,2,6,1,E,empty,67,0.1,no,NA,empty
2020-09-19,07:45:00,2_15,2,6,15,E,empty,72,3.6,no,NA,empty
2020-09-19,07:45:00,2_3,2,6,3,E,empty,77,4.5,no,NA,empty
2020-09-19,07:45:00,2_14,2,6,14,D,pycno,76,1.3,yes,NA,pycno
2020-09-19,07:45:00,2_16,2,6,16,D,pycno,69,0,yes,NA,pycno
2020-09-19,07:45:00,2_10,2,6,10,D,pycno,62,4.2,yes,NA,pycno
2020-09-19,07:45:00,2_9,2,6,9,D,pycno,72,1.7,yes,NA,pycno
